鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位移轉總面積平方公尺,建案名稱,棟及號,解約情形,Year,Month
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟4F,24.41,住,,,1030614,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,14480000,77918,坡道平面,,1100000,,RPQOMLRKKIJFFAD87DB,,,,,,37.55,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟3F,24.41,住,,,1030606,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,14890000,80305,坡道平面,,1100000,,RPROMLRKKIJFFAD97DB,,,,,,37.55,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟6F,24.41,住,,,1030526,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,14900000,79781,坡道平面,,1200000,,RPSOMLRKKIJFFAD08DB,,,,,,37.55,,,,103.0,5.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟7F,24.41,住,,,1030621,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,14920000,80480,坡道平面,,1100000,,RPTOMLRKKIJFFAD18DB,,,,,,37.55,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟8F,24.41,住,,,1030624,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,15460000,83042,坡道平面,,1200000,,RPUOMLRKKIJFFAD28DB,,,,,,37.55,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟9F,24.41,住,,,1030527,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,15490000,83799,坡道平面,,1100000,,RPVOMLRKKIJFFAD38DB,,,,,,37.55,,,,103.0,5.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A1棟1F,31.41,住,,,1030606,土地1建物1車位2,一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.3,0,0,1,有,無,38500000,292144,坡道平面,,2800000,,RPWOMLRKKIJFFAD48DB,,,,,,75.1,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟10F,24.41,住,,,1030606,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,15410000,82751,坡道平面,,1200000,,RPXOMLRKKIJFFAD58DB,,,,,,37.55,,,,103.0,6.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段B2棟1F,18.5,住,,,1030515,土地1建物1車位1,一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.16,0,0,1,有,無,22930000,251489,坡道平面,,1400000,,RPOPMLRKKIJFFAD77DB,,,,,,37.55,,,,103.0,5.0
北區,房地(土地+建物)+車位,臺南市北區海安路三段A2棟13F,24.41,住,,,1030602,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.27,3,2,2,有,無,16100000,86769,坡道平面,,1200000,,RPRPMLRKKIJFFAD08DB,,,,,,37.55,,,,103.0,6.0
